,budget,critic_rating,distribution,genre,id,method,rating,release,runtime,source,weekend1_date,weekend1_gross,weekend1_pertheater,weekend1_rank,weekend1_theaters,weekend2_date,weekend2_gross,weekend2_pertheater,weekend2_rank,weekend2_theaters,weekend3_date,weekend3_gross,weekend3_pertheater,weekend3_rank,weekend3_theaters,weekend4_date,weekend4_gross,weekend4_pertheater,weekend4_rank,weekend4_theaters,weekend5_date,weekend5_gross,weekend5_pertheater,weekend5_rank,weekend5_theaters,widest_release,year
Grind,,8.0,Warner Bros.,Adventure,Grind-(2003),Live Action,PG-13,True,,Original Screenplay,2003-08-15 00:00:00,2511403,1115,12,2253,2003-08-22 00:00:00,818330,363,18,2253,2003-08-29 00:00:00,126402,389,43,325,2003-09-05 00:00:00,33223,361,60,92,2003-09-12 00:00:00,41448,296,57,140,2253.0,2003
Grindhouse,53000000.0,83.0,Weinstein/Dimension,Horror,Grindhouse,Live Action,R,True,191.0,Original Screenplay,2007-04-06 00:00:00,11596613,4419,4,2624,2007-04-13 00:00:00,4331372,1648,10,2629,2007-04-20 00:00:00,1401345,950,14,1475,2007-04-27 00:00:00,576130,932,20,618,2007-05-04 00:00:00,130500,725,29,180,2629.0,2007
Grown Ups,75000000.0,10.0,Sony Pictures,Comedy,Grown-Ups,Live Action,PG-13,True,102.0,Original Screenplay,2010-06-25 00:00:00,40506564,11462,2,3534,2010-07-02 00:00:00,19049602,5390,4,3534,2010-07-09 00:00:00,15806738,4564,6,3463,2010-07-16 00:00:00,9911016,3224,6,3074,2010-07-23 00:00:00,7428742,2598,7,2859,3534.0,2010
Grown Ups 2,80000000.0,7.0,Sony Pictures,Comedy,Grown-Ups-2,Live Action,PG-13,True,100.0,Original Screenplay,2013-07-12 00:00:00,41508572,11890,2,3491,2013-07-19 00:00:00,19872150,5692,4,3491,2013-07-26 00:00:00,11600811,3561,5,3258,2013-08-02 00:00:00,7945069,2584,6,3075,2013-08-09 00:00:00,3645565,1734,10,2102,3491.0,2013
Grudge Match,40000000.0,29.0,Warner Bros.,Comedy,Grudge-Match,Live Action,PG-13,True,113.0,Original Screenplay,2013-12-27 00:00:00,7021993,2474,11,2838,2014-01-03 00:00:00,5325423,1865,10,2856,2014-01-10 00:00:00,1907216,951,14,2005,2014-01-17 00:00:00,155183,380,31,408,2014-01-24 00:00:00,101645,417,32,244,2856.0,2013
Guardians of the Galaxy,170000000.0,91.0,Walt Disney,Adventure,Guardians-of-the-Galaxy,Live Action,PG-13,True,121.0,Based on Comic/Graphic Novel,2014-08-01 00:00:00,94320883,23118,1,4080,2014-08-08 00:00:00,42124922,10305,2,4088,2014-08-15 00:00:00,25115564,6793,2,3697,2014-08-22 00:00:00,17202212,5103,1,3371,2014-08-29 00:00:00,17082262,4934,1,3462,4088.0,2014
Guess Who,35000000.0,43.0,Sony Pictures,Comedy,Guess-Who,Live Action,PG-13,True,,Remake,2005-03-25 00:00:00,20671446,6569,1,3147,2005-04-01 00:00:00,12716557,4041,3,3147,2005-04-08 00:00:00,7018395,2291,4,3064,2005-04-15 00:00:00,4875712,1626,5,2999,2005-04-22 00:00:00,3513837,1415,8,2484,3147.0,2005
Gulliver's Travels,112000000.0,20.0,20th Century Fox,Comedy,Gullivers-Travels-(2010),Animation/Live Action,PG,True,87.0,Based on Fiction Book/Short Story,2010-12-24 00:00:00,6307691,2477,8,2546,2010-12-31 00:00:00,9300099,3011,8,3089,2011-01-07 00:00:00,4588731,1548,12,2964,2011-01-14 00:00:00,2118591,1272,14,1666,2011-01-21 00:00:00,1159012,1054,16,1100,3089.0,2010
Hairspray,75000000.0,91.0,New Line,Musical,Hairspray-(2007),Live Action,PG,True,115.0,Remake,2007-07-20 00:00:00,27476745,8804,3,3121,2007-07-27 00:00:00,15899890,5094,4,3121,2007-08-03 00:00:00,9225378,2962,6,3115,2007-08-10 00:00:00,6396666,2280,5,2805,2007-08-17 00:00:00,4502455,1885,7,2389,3121.0,2007
Hall Pass,68000000.0,34.0,Warner Bros.,Comedy,Hall-Pass,Live Action,R,True,106.0,Original Screenplay,2011-02-25 00:00:00,13535374,4588,1,2950,2011-03-04 00:00:00,8861053,3004,4,2950,2011-03-11 00:00:00,5011020,1961,7,2555,2011-03-18 00:00:00,2568334,1348,10,1905,2011-03-25 00:00:00,1705370,1416,12,1204,2950.0,2011
