,budget,critic_rating,distribution,genre,id,method,rating,release,runtime,source,weekend1_date,weekend1_gross,weekend1_pertheater,weekend1_rank,weekend1_theaters,weekend2_date,weekend2_gross,weekend2_pertheater,weekend2_rank,weekend2_theaters,weekend3_date,weekend3_gross,weekend3_pertheater,weekend3_rank,weekend3_theaters,weekend4_date,weekend4_gross,weekend4_pertheater,weekend4_rank,weekend4_theaters,weekend5_date,weekend5_gross,weekend5_pertheater,weekend5_rank,weekend5_theaters,widest_release,year
Katy Perry: Part of Me 3D,12000000.0,77.0,Paramount Pictures,Concert/Performance,Katy-Perry-Part-of-Me-3D,Live Action,PG,True,95.0,Based on Real Life Events,2012-07-06 00:00:00,7138266,2615,8,2730,2012-07-13 00:00:00,3800607,1391,8,2732,2012-07-20 00:00:00,1148494,1023,13,1123,2012-07-27 00:00:00,550177,908,15,606,2012-08-03 00:00:00,202023,729,26,277,2732.0,2012
Kevin Hart: Let Me Explain,2500000.0,63.0,Lionsgate,Concert/Performance,Kevin-Hart-Let-Me-Explain,Live Action,R,True,,Based on Real Life Events,2013-07-05 00:00:00,10030463,11450,8,876,2013-07-12 00:00:00,4754152,5330,9,892,2013-07-19 00:00:00,2034217,2720,14,748,2013-07-26 00:00:00,728502,1463,18,498,2013-08-02 00:00:00,248103,1159,26,214,892.0,2013
Kick-Ass,28000000.0,76.0,Lionsgate,Black Comedy,Kick-Ass,Live Action,R,True,117.0,Based on Comic/Graphic Novel,2010-04-16 00:00:00,19828687,6469,1,3065,2010-04-23 00:00:00,9342398,3048,5,3065,2010-04-30 00:00:00,4515940,1777,8,2542,2010-05-07 00:00:00,1504959,856,12,1759,2010-05-14 00:00:00,539997,887,15,609,3065.0,2010
Kick-Ass 2,28000000.0,30.0,Universal,Action,Kick-Ass-2,Live Action,R,True,103.0,Based on Comic/Graphic Novel,2013-08-16 00:00:00,13332955,4535,5,2940,2013-08-23 00:00:00,4373310,1485,9,2945,2013-08-30 00:00:00,1950525,1185,17,1646,2013-09-06 00:00:00,635525,960,24,662,2013-09-13 00:00:00,250480,730,32,343,2945.0,2013
Kicking and Screaming,45000000.0,41.0,Universal,Comedy,Kicking-and-Screaming-(2005),Live Action,PG,True,95.0,Original Screenplay,2005-05-13 00:00:00,20159925,5835,2,3455,2005-05-20 00:00:00,10721715,3090,3,3470,2005-05-27 00:00:00,5131195,1730,5,2966,2005-06-03 00:00:00,2311155,1265,9,1827,2005-06-10 00:00:00,821855,1090,13,754,3470.0,2005
Kill Bill: Volume 1,55000000.0,85.0,Miramax,Action,Kill-Bill-Volume-1,Live Action,R,True,110.0,Original Screenplay,2003-10-10 00:00:00,22089322,7121,1,3102,2003-10-17 00:00:00,12424841,4005,2,3102,2003-10-24 00:00:00,6355590,2414,7,2633,2003-10-31 00:00:00,4529607,1865,7,2429,2003-11-07 00:00:00,2322779,1382,11,1681,3102.0,2003
Kill Bill: Volume 2,55000000.0,84.0,Miramax,Action,Kill-Bill-Volume-2,Live Action,R,True,136.0,Original Screenplay,2004-04-16 00:00:00,25104949,8450,1,2971,2004-04-23 00:00:00,10410219,3388,3,3073,2004-04-30 00:00:00,5858536,2191,7,2674,2004-05-07 00:00:00,3022006,1548,7,1952,2004-05-14 00:00:00,1628802,1163,9,1401,3073.0,2004
Kill the Messenger,5000000.0,77.0,Focus Features,Thriller/Suspense,Kill-the-Messenger,Live Action,R,False,112.0,Based on Real Life Events,2014-10-10 00:00:00,941809,2518,15,374,2014-10-17 00:00:00,481784,1128,19,427,2014-10-24 00:00:00,148644,704,26,211,2014-10-31 00:00:00,57169,762,46,75,2014-11-07 00:00:00,22640,708,55,32,427.0,2014
Killer Elite,70000000.0,25.0,Open Road,Action,Killer-Elite,Live Action,R,True,105.0,Based on Fiction Book/Short Story,2011-09-23 00:00:00,9352008,3132,5,2986,2011-09-30 00:00:00,4916839,1647,9,2986,2011-10-07 00:00:00,2201362,913,12,2411,2011-10-14 00:00:00,1031220,721,17,1431,2011-10-21 00:00:00,410036,546,22,751,2986.0,2011
Killers,75000000.0,11.0,Lionsgate,Action,Killers,Live Action,PG-13,True,,Original Screenplay,2010-06-04 00:00:00,15837266,5539,3,2859,2010-06-11 00:00:00,8008007,2801,5,2859,2010-06-18 00:00:00,5035755,1923,8,2619,2010-06-25 00:00:00,1938681,854,9,2271,2010-07-02 00:00:00,475307,654,16,727,2859.0,2010
Killing Them Softly,15000000.0,75.0,Weinstein Co.,Thriller/Suspense,Killing-Them-Softly,Live Action,R,True,97.0,Based on Fiction Book/Short Story,2012-11-30 00:00:00,6812900,2811,7,2424,2012-12-07 00:00:00,2806901,1158,10,2424,2012-12-14 00:00:00,1008127,706,16,1427,2012-12-21 00:00:00,113244,760,27,149,2013-01-04 00:00:00,41157,807,42,51,2424.0,2012
King Arthur,90000000.0,31.0,Walt Disney,Adventure,King-Arthur,Live Action,PG-13,True,126.0,Based on Folk Tale/Legend/Fairytale,2004-07-09 00:00:00,15193907,4923,3,3086,2004-07-16 00:00:00,7161648,2321,6,3086,2004-07-23 00:00:00,3036114,1443,9,2104,2004-07-30 00:00:00,1447745,1277,13,1134,2004-08-06 00:00:00,638742,1331,20,480,3086.0,2004
King Kong,207000000.0,84.0,Universal,Adventure,King-Kong-(2005),Animation/Live Action,PG-13,True,189.0,Remake,2005-12-16 00:00:00,50130145,14050,1,3568,2005-12-23 00:00:00,21259320,5945,1,3576,2005-12-30 00:00:00,24772410,6830,2,3627,2006-01-06 00:00:00,12622285,3625,3,3482,2006-01-13 00:00:00,7528060,2675,7,2814,3627.0,2005
King's Ransom,25000000.0,2.0,New Line,Comedy,Kings-Ransom,Live Action,PG-13,True,,Original Screenplay,2005-04-22 00:00:00,2137685,1418,10,1508,2005-04-29 00:00:00,831925,552,15,1508,2005-05-06 00:00:00,166866,495,25,337,2005-05-13 00:00:00,51033,593,40,86,2005-05-20 00:00:00,34440,820,44,42,1508.0,2005
Kingdom of Heaven,110000000.0,39.0,20th Century Fox,Adventure,Kingdom-of-Heaven,Live Action,R,True,148.0,Original Screenplay,2005-05-06 00:00:00,19635996,6106,1,3216,2005-05-13 00:00:00,9625509,2990,4,3219,2005-05-20 00:00:00,3537201,1260,6,2808,2005-05-27 00:00:00,1691570,1274,9,1328,2005-06-03 00:00:00,607075,1063,12,571,3219.0,2005
Kinsey,11000000.0,90.0,Fox Searchlight,Drama,Kinsey,Live Action,R,False,,Based on Real Life Events,2004-11-12 00:00:00,169038,33808,29,5,2004-11-19 00:00:00,577721,16048,16,36,2004-11-26 00:00:00,1292518,6875,16,188,2004-12-03 00:00:00,740669,3919,16,189,2004-12-10 00:00:00,525881,3112,14,169,189.0,2004
Kirk Cameron's Saving Christmas,,0.0,Samuel Goldwyn Films,Multiple Genres,Saving-Christmas,Live Action,PG,False,80.0,Original Screenplay,2014-11-14 00:00:00,992087,2420,15,410,2014-11-21 00:00:00,651276,1666,14,391,2014-11-28 00:00:00,253384,915,24,277,2014-12-05 00:00:00,128388,437,33,294,2014-12-12 00:00:00,49461,275,36,180,410.0,2014
"Kiss Kiss, Bang Bang",15000000.0,85.0,Warner Bros.,Comedy,Kiss-Kiss-Bang-Bang,Live Action,R,False,102.0,Based on Fiction Book/Short Story,2005-10-21 00:00:00,180660,22583,37,8,2005-10-28 00:00:00,337990,6500,24,52,2005-11-04 00:00:00,396808,4960,21,80,2005-11-11 00:00:00,785842,4650,19,169,2005-11-18 00:00:00,502246,2222,17,226,226.0,2005
Kit Kittredge: An American Girl,10000000.0,79.0,Picturehouse,Drama,Kit-Kittredge-An-American-Girl,Live Action,G,False,,Based on Toy,2008-06-20 00:00:00,220297,44059,16,5,2008-06-27 00:00:00,107019,21404,23,5,2008-07-04 00:00:00,3296929,1789,8,1843,2008-07-11 00:00:00,2303054,1246,10,1849,2008-07-18 00:00:00,951358,1237,13,769,1849.0,2008
Knight and Day,117000000.0,52.0,20th Century Fox,Action,Knight-and-Day,Live Action,PG-13,True,109.0,Original Screenplay,2010-06-25 00:00:00,20139985,6501,3,3098,2010-07-02 00:00:00,10443233,3364,5,3104,2010-07-09 00:00:00,7719251,2937,7,2628,2010-07-16 00:00:00,3608021,1874,9,1925,2010-07-23 00:00:00,1694003,1339,12,1265,3104.0,2010
Knocked Up,27500000.0,90.0,Universal,Romantic Comedy,Knocked-Up,Live Action,R,True,132.0,Original Screenplay,2007-06-01 00:00:00,30690990,10690,2,2871,2007-06-08 00:00:00,19643080,6830,3,2876,2007-06-15 00:00:00,14069880,4840,3,2907,2007-06-22 00:00:00,10977595,3690,5,2975,2007-06-29 00:00:00,7302325,2740,6,2665,2975.0,2007
Knowing,50000000.0,33.0,Summit Entertainment,Thriller/Suspense,Knowing,Live Action,PG-13,True,,Based on Fiction Book/Short Story,2009-03-20 00:00:00,24604751,7384,1,3332,2009-03-27 00:00:00,14702187,4406,3,3337,2009-04-03 00:00:00,8146156,2451,4,3323,2009-04-10 00:00:00,6433433,2199,5,2925,2009-04-17 00:00:00,3574727,1486,8,2405,3337.0,2009
Kung Fu Hustle,20000000.0,90.0,Sony Pictures Classics,Action,Kung-Fu-Hustle,Live Action,R,False,,Original Screenplay,2005-04-08 00:00:00,269225,38461,19,7,2005-04-15 00:00:00,247613,35373,21,7,2005-04-22 00:00:00,6749572,2697,5,2503,2005-04-29 00:00:00,3317955,1360,8,2440,2005-05-06 00:00:00,1197805,1325,11,904,2503.0,2005
Kung Fu Panda,130000000.0,87.0,Paramount Pictures,Adventure,Kung-Fu-Panda,Digital Animation,PG,True,91.0,Original Screenplay,2008-06-06 00:00:00,60239130,14642,1,4114,2008-06-13 00:00:00,33612594,8127,2,4136,2008-06-20 00:00:00,21934716,5412,3,4053,2008-06-27 00:00:00,11692061,3186,4,3670,2008-07-04 00:00:00,7318635,2187,5,3347,4136.0,2008
Kung Fu Panda 2,150000000.0,81.0,Paramount Pictures,Adventure,Kung-Fu-Panda-2,Digital Animation,PG,True,90.0,Original Screenplay,2011-05-27 00:00:00,47656302,12142,2,3925,2011-06-03 00:00:00,23887914,6045,3,3952,2011-06-10 00:00:00,16543166,4211,4,3929,2011-06-17 00:00:00,9027671,2602,6,3469,2011-06-24 00:00:00,4173144,1651,10,2527,3952.0,2011
L'auberge espagnole,5900000.0,77.0,Fox Searchlight,Comedy,L-Auberge-Espagnole-(US-Release),Live Action,R,False,,Original Screenplay,2003-05-16 00:00:00,59309,5392,46,11,2003-05-23 00:00:00,173473,6425,27,27,2003-05-30 00:00:00,198085,4607,24,43,2003-06-06 00:00:00,268005,3775,20,71,2003-06-13 00:00:00,248348,2699,19,92,92.0,2003
La Vie en Rose,15500000.0,74.0,Picturehouse,Drama,Mome-La,Live Action,PG-13,False,,Based on Real Life Events,2007-06-08 00:00:00,179848,22481,20,8,2007-06-15 00:00:00,660278,8575,12,77,2007-06-22 00:00:00,773896,6558,15,118,2007-06-29 00:00:00,617080,4346,15,142,2007-07-06 00:00:00,608884,3759,17,162,162.0,2007
Labor Day,18000000.0,34.0,Paramount Pictures,Drama,Labor-Day,Live Action,PG-13,True,111.0,Based on Fiction Book/Short Story,2014-01-31 00:00:00,5175282,2003,7,2584,2014-02-07 00:00:00,3184785,1233,10,2584,2014-02-14 00:00:00,1250675,752,17,1664,2014-02-21 00:00:00,226864,543,32,418,2014-02-28 00:00:00,47776,447,47,107,2584.0,2014
Ladder 49,60000000.0,40.0,Walt Disney,Action,Ladder-49,Live Action,PG-13,True,,Original Screenplay,2004-10-01 00:00:00,22088204,6776,2,3260,2004-10-08 00:00:00,13105177,4019,3,3261,2004-10-15 00:00:00,8503420,2612,5,3255,2004-10-22 00:00:00,5324148,1900,6,2802,2004-10-29 00:00:00,3256363,1367,7,2382,3261.0,2004
Lady in the Water,75000000.0,24.0,Warner Bros.,Drama,Lady-in-the-Water,Live Action,PG-13,True,,Original Screenplay,2006-07-21 00:00:00,18044396,5578,3,3235,2006-07-28 00:00:00,7144275,2208,6,3235,2006-08-04 00:00:00,2711191,1015,12,2670,2006-08-11 00:00:00,835426,723,22,1155,2006-08-18 00:00:00,233484,687,32,340,3235.0,2006
Lakeview Terrace,20000000.0,45.0,Sony Pictures,Thriller/Suspense,Lakeview-Terrace,Live Action,PG-13,True,,Original Screenplay,2008-09-19 00:00:00,15004672,6090,1,2464,2008-09-26 00:00:00,6966711,2824,3,2467,2008-10-03 00:00:00,4561227,1772,6,2574,2008-10-10 00:00:00,2654644,1197,12,2218,2008-10-17 00:00:00,1153588,997,17,1157,2574.0,2008
Land of the Lost,100000000.0,26.0,Universal,Comedy,Land-of-the-Lost,Live Action,PG-13,True,102.0,Based on TV,2009-06-05 00:00:00,18837350,5350,3,3521,2009-06-12 00:00:00,8994030,2545,5,3534,2009-06-19 00:00:00,4358945,1480,8,2945,2009-06-26 00:00:00,1195685,795,11,1504,2009-07-03 00:00:00,306025,795,17,385,3534.0,2009
Lara Croft: Tomb Raider: The Cradle of Life,90000000.0,24.0,Paramount Pictures,Adventure,Lara-Croft-Tomb-Raider-The-Cradle-of-Life,Live Action,PG-13,True,117.0,Based on Game,2003-07-25 00:00:00,21783641,6761,4,3222,2003-08-01 00:00:00,11339464,3519,6,3222,2003-08-08 00:00:00,5221055,1720,8,3036,2003-08-15 00:00:00,2786977,1447,11,1926,2003-08-22 00:00:00,1503624,1182,13,1272,3222.0,2003
Larry Crowne,30000000.0,36.0,Universal,Romantic Comedy,Larry-Crowne,Live Action,PG-13,True,98.0,Original Screenplay,2011-07-01 00:00:00,13096065,4405,4,2973,2011-07-08 00:00:00,5936405,1995,6,2976,2011-07-15 00:00:00,2664550,1165,8,2287,2011-07-22 00:00:00,1019475,985,12,1035,2011-07-29 00:00:00,263005,785,23,335,2976.0,2011
Larry the Cable Guy: Health Inspector,17000000.0,5.0,Lionsgate,Comedy,Larry-the-Cable-Guy-Health-Inspector,Live Action,PG-13,True,,Original Screenplay,2006-03-24 00:00:00,6922767,4048,7,1710,2006-03-31 00:00:00,3159370,1808,11,1747,2006-04-07 00:00:00,1535134,1055,14,1455,2006-04-14 00:00:00,672986,690,17,976,2006-04-21 00:00:00,267092,537,21,497,1747.0,2006
Lars and the Real Girl,12500000.0,81.0,MGM,Comedy,Lars-and-the-Real-Girl,Live Action,PG-13,False,,Original Screenplay,2007-10-12 00:00:00,90418,12917,42,7,2007-10-19 00:00:00,188603,8981,36,21,2007-10-26 00:00:00,926675,3131,19,296,2007-11-02 00:00:00,765971,2386,18,321,2007-11-09 00:00:00,702550,2456,21,286,321.0,2007
Last Chance Harvey,,70.0,Overture Films,Drama,Last-Chance-Harvey,Live Action,PG-13,False,,Original Screenplay,2008-12-26 00:00:00,97260,16210,35,6,2009-01-02 00:00:00,102206,17034,33,6,2009-01-09 00:00:00,141671,8854,30,16,2009-01-16 00:00:00,4299805,4080,13,1054,2009-01-23 00:00:00,2865298,2586,17,1108,1108.0,2008
Last Holiday,45000000.0,55.0,Paramount Pictures,Comedy,Last-Holiday,Live Action,PG-13,True,,Remake,2006-01-13 00:00:00,12806188,5094,2,2514,2006-01-20 00:00:00,8711606,3465,4,2514,2006-01-27 00:00:00,4802618,1967,8,2442,2006-02-03 00:00:00,2637987,1374,12,1920,2006-02-10 00:00:00,685729,723,22,949,2514.0,2006
Last Vegas,28000000.0,46.0,CBS Films,Comedy,Last-Vegas,Live Action,PG-13,True,104.0,Original Screenplay,2013-11-01 00:00:00,16334566,5329,3,3065,2013-11-08 00:00:00,11036270,3581,4,3082,2013-11-15 00:00:00,8439544,2607,3,3237,2013-11-22 00:00:00,4359075,1490,6,2926,2013-11-29 00:00:00,2692525,1452,10,1854,3237.0,2013
Laurel Canyon,,68.0,Sony Pictures Classics,Drama,Laurel-Canyon,Live Action,R,False,,Original Screenplay,2003-03-07 00:00:00,149099,14910,39,10,2003-03-14 00:00:00,215794,11358,32,19,2003-03-21 00:00:00,134283,7068,39,19,2003-03-28 00:00:00,378654,3129,24,121,2003-04-04 00:00:00,315225,3464,27,91,121.0,2003
Law Abiding Citizen,53000000.0,25.0,Overture Films,Thriller/Suspense,Law-Abiding-Citizen,Live Action,R,True,,Original Screenplay,2009-10-16 00:00:00,21039502,7280,2,2890,2009-10-23 00:00:00,12403888,4292,4,2890,2009-10-30 00:00:00,7403630,2679,3,2764,2009-11-06 00:00:00,6003737,2427,8,2474,2009-11-13 00:00:00,3796327,1833,9,2071,2890.0,2009
Lawless,26000000.0,67.0,Weinstein Co.,Drama,Lawless-(2011),Live Action,R,True,115.0,Based on Fiction Book/Short Story,2012-08-31 00:00:00,10001982,3463,2,2888,2012-09-07 00:00:00,6007036,1914,2,3138,2012-09-14 00:00:00,4348377,1420,4,3063,2012-09-21 00:00:00,2286215,875,10,2614,2012-09-28 00:00:00,867807,577,15,1503,3138.0,2012
Laws of Attraction,32000000.0,17.0,New Line,Romantic Comedy,Laws-of-Attraction,Live Action,PG-13,True,,Original Screenplay,2004-04-30 00:00:00,6728905,2748,5,2449,2004-05-07 00:00:00,3678133,1502,6,2449,2004-05-14 00:00:00,2009380,1003,8,2003,2004-05-21 00:00:00,924734,916,11,1010,2004-05-28 00:00:00,283337,719,19,394,2449.0,2004
Le Divorce,,37.0,Fox Searchlight,Comedy,Divorce-Le,Live Action,PG-13,False,,Based on Fiction Book/Short Story,2003-08-08 00:00:00,516834,15201,20,34,2003-08-15 00:00:00,942594,5237,15,180,2003-08-22 00:00:00,1368317,3242,14,422,2003-08-29 00:00:00,1595239,2276,14,701,2003-09-05 00:00:00,952396,1413,17,674,701.0,2003
Leap Year,19000000.0,21.0,Universal,Romantic Comedy,Leap-Year,Live Action,PG,True,,Original Screenplay,2010-01-08 00:00:00,9202815,3665,6,2511,2010-01-15 00:00:00,5928510,2360,8,2512,2010-01-22 00:00:00,2889110,1490,13,1939,2010-01-29 00:00:00,1015910,895,16,1135,2010-02-05 00:00:00,305640,625,24,489,2512.0,2010
Leatherheads,58000000.0,52.0,Universal,Romantic Comedy,Leatherheads,Live Action,PG-13,True,114.0,Original Screenplay,2008-04-04 00:00:00,12682595,4580,3,2769,2008-04-11 00:00:00,6276665,2265,5,2771,2008-04-18 00:00:00,3049465,1090,9,2798,2008-04-25 00:00:00,1827555,810,12,2255,2008-05-02 00:00:00,572320,560,17,1022,2798.0,2008
Lee Daniels' The Butler,30000000.0,72.0,Weinstein Co.,Drama,Butler-The,Live Action,PG-13,True,132.0,Based on Real Life Events,2013-08-16 00:00:00,24637312,8400,1,2933,2013-08-23 00:00:00,16503812,5307,1,3110,2013-08-30 00:00:00,14878286,4468,2,3330,2013-09-06 00:00:00,8401729,2523,2,3330,2013-09-13 00:00:00,5544621,1712,4,3239,3330.0,2013
Left Behind,16000000.0,2.0,Freestyle Releasing,Thriller/Suspense,Left-Behind-(2014),Live Action,PG-13,True,111.0,Based on Fiction Book/Short Story,2014-10-03 00:00:00,6300146,3452,6,1825,2014-10-10 00:00:00,2834919,1502,10,1887,2014-10-17 00:00:00,922618,1000,14,923,2014-10-24 00:00:00,267408,836,21,320,2014-10-31 00:00:00,138188,763,26,181,1887.0,2014
"Legally Blonde 2: Red, White & Blonde",25000000.0,38.0,MGM,Comedy,Legally-Blonde-2-Red-White-and-Blonde,Live Action,PG,True,,Original Screenplay,2003-07-04 00:00:00,22220670,6633,2,3350,2003-07-11 00:00:00,12030319,3565,4,3375,2003-07-18 00:00:00,6122444,1910,7,3205,2003-07-25 00:00:00,2707034,1277,10,2120,2003-08-01 00:00:00,1408958,996,14,1414,3375.0,2003
Legend of the Guardians: The Owls of Ga'Hoole 3D,100000000.0,50.0,Warner Bros.,Adventure,Guardians-of-Ga-Hoole,Digital Animation,PG,True,90.0,Based on Fiction Book/Short Story,2010-09-24 00:00:00,16112211,4507,2,3575,2010-10-01 00:00:00,10887429,3045,2,3575,2010-10-08 00:00:00,6888019,2136,4,3225,2010-10-15 00:00:00,4228236,1690,6,2502,2010-10-22 00:00:00,3248019,1453,8,2236,3575.0,2010
Legion,26000000.0,19.0,Sony Pictures,Thriller/Suspense,Legion,Live Action,R,True,104.0,Original Screenplay,2010-01-22 00:00:00,17501625,7069,2,2476,2010-01-29 00:00:00,7176375,2898,6,2476,2010-02-05 00:00:00,3453651,1477,9,2339,2010-02-12 00:00:00,1830167,1285,14,1424,2010-02-19 00:00:00,625408,796,19,786,2476.0,2010
Lemony Snicket's A Series of Unfortunate Events,100000000.0,72.0,Paramount Pictures,Comedy,Lemony-Snickets-A-Series-of-Unfortunate-Events,Live Action,PG,True,107.0,Based on Fiction Book/Short Story,2004-12-17 00:00:00,30061756,8304,1,3620,2004-12-24 00:00:00,12611876,3481,2,3623,2004-12-31 00:00:00,14587219,4026,2,3623,2005-01-07 00:00:00,7438867,2225,4,3343,2005-01-14 00:00:00,4040709,1591,8,2540,3623.0,2004
Les Miserables,65000000.0,70.0,Universal,Musical,Miserables-Les-(2012),Live Action,PG-13,True,158.0,Based on Fiction Book/Short Story,2012-12-28 00:00:00,27281735,9695,3,2814,2013-01-04 00:00:00,16015560,5515,4,2904,2013-01-11 00:00:00,9644465,3295,5,2927,2013-01-18 00:00:00,7491995,2905,8,2579,2013-01-25 00:00:00,4221055,1910,9,2210,2927.0,2012
Les Triplettes de Belleville,2000000.0,94.0,Sony Pictures,Musical,Triplettes-de-Belleville-Les,Hand Animation,PG-13,False,,Original Screenplay,2003-11-28 00:00:00,108080,18013,37,6,2003-12-05 00:00:00,57907,9651,41,6,2003-12-12 00:00:00,44805,7468,46,6,2003-12-19 00:00:00,65648,4377,38,15,2003-12-26 00:00:00,195707,4255,34,46,46.0,2003
Let Me In,20000000.0,88.0,Overture Films,Thriller/Suspense,Let-Me-In,Live Action,R,True,115.0,Remake,2010-10-01 00:00:00,5147479,2547,8,2021,2010-10-08 00:00:00,2447618,1199,11,2042,2010-10-15 00:00:00,830676,686,16,1211,2010-10-22 00:00:00,261932,511,26,513,2010-10-29 00:00:00,166632,441,30,378,2042.0,2010
Lets Be Cops,17000000.0,18.0,20th Century Fox,Comedy,Lets-Be-Cops,Live Action,R,True,104.0,Original Screenplay,2014-08-15 00:00:00,17813722,5758,3,3094,2014-08-22 00:00:00,10810533,3443,4,3140,2014-08-29 00:00:00,8292004,2755,5,3010,2014-09-05 00:00:00,5568871,1899,3,2932,2014-09-12 00:00:00,4378297,1589,5,2755,3140.0,2014
Letters from Iwo Jima,13000000.0,91.0,Warner Bros.,Drama,Letters-from-Iwo-Jima,Live Action,R,False,101.0,Based on Real Life Events,2006-12-22 00:00:00,89097,17819,30,5,2006-12-29 00:00:00,87932,17586,38,5,2007-01-05 00:00:00,79297,15859,41,5,2007-01-12 00:00:00,366242,10464,30,35,2007-01-19 00:00:00,1355466,3765,21,360,360.0,2006
Letters to Juliet,30000000.0,40.0,Summit Entertainment,Drama,Letters-to-Juliet,Live Action,PG,True,105.0,Based on Factual Book/Article,2010-05-14 00:00:00,13540486,4562,3,2968,2010-05-21 00:00:00,9006266,3027,4,2975,2010-05-28 00:00:00,5833772,2065,6,2825,2010-06-04 00:00:00,3036367,1548,10,1962,2010-06-11 00:00:00,1693941,1273,12,1331,2975.0,2010
License to Wed,35000000.0,7.0,Warner Bros.,Romantic Comedy,License-to-Wed,Live Action,PG,True,91.0,Original Screenplay,2007-07-06 00:00:00,10422258,4002,4,2604,2007-07-13 00:00:00,7311297,2693,5,2715,2007-07-20 00:00:00,3577230,1417,7,2525,2007-07-27 00:00:00,1287411,800,12,1610,2007-08-03 00:00:00,238042,780,26,305,2715.0,2007
Life as We Know It,38000000.0,28.0,Warner Bros.,Romantic Comedy,Life-as-We-Know-It,Live Action,PG-13,True,113.0,Original Screenplay,2010-10-08 00:00:00,14506464,4605,2,3150,2010-10-15 00:00:00,8955409,2843,5,3150,2010-10-22 00:00:00,6136454,2033,7,3019,2010-10-29 00:00:00,4055473,1418,8,2860,2010-11-05 00:00:00,3066179,1572,11,1950,3150.0,2010
Life of Pi,120000000.0,87.0,20th Century Fox,Drama,Life-of-Pi,Live Action,PG,True,125.0,Based on Fiction Book/Short Story,2012-11-23 00:00:00,22451514,7670,5,2927,2012-11-30 00:00:00,12151853,4150,5,2928,2012-12-07 00:00:00,8330764,2828,5,2946,2012-12-14 00:00:00,5413066,2124,5,2548,2012-12-21 00:00:00,4017237,2296,9,1750,2946.0,2012
Like Crazy,250000.0,72.0,Paramount Pictures,Drama,Like-Crazy,Live Action,PG-13,False,89.0,Original Screenplay,2011-10-28 00:00:00,123140,30785,34,4,2011-11-04 00:00:00,266514,16657,25,16,2011-11-11 00:00:00,504512,7207,20,70,2011-11-18 00:00:00,522352,4792,14,109,2011-11-25 00:00:00,425116,2834,16,150,150.0,2011
Limitless,27000000.0,70.0,Relativity,Thriller/Suspense,Limitless,Live Action,PG-13,True,105.0,Based on Fiction Book/Short Story,2011-03-18 00:00:00,18907302,6860,1,2756,2011-03-25 00:00:00,15055249,5367,3,2805,2011-04-01 00:00:00,9307896,3280,5,2838,2011-04-08 00:00:00,5461378,2057,8,2655,2011-04-15 00:00:00,3660104,1942,10,1885,2838.0,2011
Lincoln,65000000.0,90.0,Walt Disney,Drama,Lincoln,Live Action,PG-13,False,149.0,Based on Fiction Book/Short Story,2012-11-09 00:00:00,944308,85846,15,11,2012-11-16 00:00:00,21049406,11859,3,1775,2012-11-23 00:00:00,25676413,12724,3,2018,2012-11-30 00:00:00,13376696,6629,4,2018,2012-12-07 00:00:00,8916813,4427,4,2014,2018.0,2012
Little Black Book,30000000.0,21.0,Sony Pictures,Romantic Comedy,Little-Black-Book,Live Action,PG-13,True,,Original Screenplay,2004-08-06 00:00:00,7075217,2894,5,2445,2004-08-13 00:00:00,3784115,1548,9,2445,2004-08-20 00:00:00,1517423,925,15,1640,2004-08-27 00:00:00,603551,787,20,767,2004-09-03 00:00:00,222716,721,33,309,2445.0,2004
Little Fockers,100000000.0,10.0,Universal,Comedy,Little-Fockers,Live Action,PG-13,True,98.0,Original Screenplay,2010-12-24 00:00:00,30833665,8720,1,3536,2010-12-31 00:00:00,25766485,7250,1,3554,2011-01-07 00:00:00,13487245,3670,2,3675,2011-01-14 00:00:00,7194865,2120,6,3394,2011-01-21 00:00:00,4320090,1450,7,2979,3675.0,2010
Little Man,64000000.0,12.0,Sony Pictures,Comedy,Little-Man,Live Action,PG-13,True,,Original Screenplay,2006-07-14 00:00:00,21613176,8533,2,2533,2006-07-21 00:00:00,11025108,4353,5,2533,2006-07-28 00:00:00,5124245,2356,8,2175,2006-08-04 00:00:00,2541166,1628,13,1561,2006-08-11 00:00:00,1057884,1186,20,892,2533.0,2006
Little Miss Sunshine,8000000.0,91.0,Fox Searchlight,Comedy,Little-Miss-Sunshine,Live Action,R,False,102.0,Original Screenplay,2006-07-28 00:00:00,370998,53000,20,7,2006-08-04 00:00:00,1480193,25521,16,58,2006-08-11 00:00:00,2603168,17014,12,153,2006-08-18 00:00:00,5610845,8120,7,691,2006-08-25 00:00:00,7371263,5155,3,1430,1430.0,2006
Live Free or Die Hard,110000000.0,82.0,20th Century Fox,Action,Live-Free-or-Die-Hard,Live Action,PG-13,True,129.0,Based on Fiction Book/Short Story,2007-06-29 00:00:00,33369559,9792,2,3408,2007-07-06 00:00:00,17730149,5198,3,3411,2007-07-13 00:00:00,11279135,3524,4,3201,2007-07-20 00:00:00,7101638,2604,6,2727,2007-07-27 00:00:00,5618728,2474,8,2271,3411.0,2007
Lockout,20000000.0,,Open Road,Thriller/Suspense,Lockout,Live Action,PG-13,True,110.0,Original Screenplay,2012-04-13 00:00:00,6231836,2700,9,2308,2012-04-20 00:00:00,3250588,1392,12,2335,2012-04-27 00:00:00,945406,751,16,1259,2012-05-04 00:00:00,219454,706,23,311,2012-05-11 00:00:00,180053,706,26,255,2335.0,2012
